"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.267469610E-1,-9.550470352E0,1.795651317E-1,-1.771709323E-1
2.292237150E-1,-9.579200745E0,1.556231081E-1,-1.891419291E-1
2.306221150E-1,-9.610325813E0,1.484405100E-1,-1.891419291E-1
2.332912920E-1,-9.629479408E0,1.340752989E-1,-1.939303428E-1
2.348186920E-1,-9.674968719E0,1.244984865E-1,-2.035071403E-1
2.373936000E-1,-9.694122314E0,1.508347094E-1,-2.226607651E-1
2.388320760E-1,-9.710882187E0,1.604115069E-1,-2.322375625E-1
2.414969080E-1,-9.753977776E0,1.580173075E-1,-2.394201756E-1
2.430279610E-1,-9.785101891E0,1.364694983E-1,-2.537853718E-1
2.455993310E-1,-9.804255486E0,1.244984865E-1,-2.585737705E-1
2.471450380E-1,-9.816226959E0,1.173158810E-1,-2.609679997E-1
2.497273310E-1,-9.847352028E0,1.053448766E-1,-2.561795712E-1
2.511557300E-1,-9.852140427E0,1.173158810E-1,-2.585737705E-1
2.538292920E-1,-9.864110947E0,1.221042871E-1,-2.657563984E-1
2.552914610E-1,-9.890447617E0,1.316810995E-1,-2.849099934E-1
2.579309850E-1,-9.914389610E0,1.244984865E-1,-2.873041928E-1
2.593604230E-1,-9.921571732E0,1.197100878E-1,-2.849099934E-1
2.620324460E-1,-9.935936928E0,1.268926859E-1,-3.064578176E-1
2.634624990E-1,-9.947908401E0,1.244984865E-1,-3.088520169E-1
2.661348310E-1,-9.955090523E0,1.173158810E-1,-3.064578176E-1
2.677607300E-1,-9.967061996E0,1.173158810E-1,-2.920926213E-1
2.700746150E-1,-9.964667320E0,1.101332754E-1,-2.944868207E-1
2.717504990E-1,-9.964667320E0,1.077390760E-1,-2.896983922E-1
2.742662690E-1,-9.962273598E0,9.576806426E-2,-2.705447972E-1
2.763844080E-1,-9.955090523E0,8.858546615E-2,-2.585737705E-1
2.784523310E-1,-9.967061996E0,9.097966552E-2,-2.561795712E-1
2.798774230E-1,-9.976638794E0,7.900865376E-2,-2.418143749E-1
2.825328460E-1,-9.976638794E0,7.661445439E-2,-2.298433632E-1
2.839884990E-1,-9.986215591E0,6.224924326E-2,-2.035071403E-1
2.866552540E-1,-9.979032516E0,5.746084079E-2,-1.915361285E-1
2.881184230E-1,-9.959878922E0,5.027823523E-2,-1.843535304E-1
2.906021150E-1,-9.957485199E0,3.591302410E-2,-1.771709323E-1
2.922178460E-1,-9.950302124E0,3.112462163E-2,-1.675941199E-1
2.946997300E-1,-9.938331604E0,2.154781483E-2,-1.484405100E-1
2.963534610E-1,-9.911994934E0,-7.182605099E-3,-1.268926859E-1
2.988572690E-1,-9.916783333E0,-7.182605099E-3,-1.221042871E-1
3.004004230E-1,-9.914389610E0,-7.182605099E-3,-1.221042871E-1
3.030814070E-1,-9.909601212E0,-2.873042040E-2,-1.221042871E-1
3.045188070E-1,-9.897629738E0,-4.070143029E-2,-1.197100878E-1
3.071832920E-1,-9.854534149E0,-5.267243832E-2,-1.197100878E-1
3.087882300E-1,-9.847352028E0,-5.027823523E-2,-1.173158810E-1
3.112617920E-1,-9.835380554E0,-5.746084079E-2,-1.149216816E-1
3.127228070E-1,-9.832986832E0,-9.337386489E-2,-1.101332754E-1
3.153287150E-1,-9.832986832E0,-1.125274822E-1,-1.268926859E-1
3.173083840E-1,-9.797073364E0,-1.173158810E-1,-1.077390760E-1
3.194309070E-1,-9.789890289E0,-1.125274822E-1,-1.005564705E-1
3.210823460E-1,-9.761159897E0,-1.149216816E-1,-8.140286058E-2
3.235326770E-1,-9.739612579E0,-1.244984865E-1,-7.422025502E-2
3.249831920E-1,-9.732429504E0,-1.340752989E-1,-7.422025502E-2
3.276352920E-1,-9.730035782E0,-1.460463107E-1,-8.140286058E-2
3.292122690E-1,-9.710882187E0,-1.508347094E-1,-8.619125932E-2
3.317646770E-1,-9.710882187E0,-1.508347094E-1,-9.097966552E-2
3.332926530E-1,-9.708487511E0,-1.556231081E-1,-8.858546615E-2
3.358678690E-1,-9.715670586E0,-1.843535304E-1,-1.029506698E-1
3.373466920E-1,-9.710882187E0,-1.771709323E-1,-1.149216816E-1
